unique_id,ds,y,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
electricity_consumption,2020-02-03,7351.708333333333,7571.0,1413.9583333333333,1478.25,1323.3333333333333,1735.3333333333333,1482.625,72.0,64.45833333333333
electricity_consumption,2020-02-04,7731.25,6684.625,1421.4583333333333,1082.7083333333333,1199.2083333333333,1407.1666666666667,1470.25,38.458333333333336,64.625
electricity_consumption,2020-02-05,7683.75,7601.125,1415.8333333333333,1930.25,1333.2083333333333,1554.5833333333333,1270.8333333333333,26.625,68.66666666666667
electricity_consumption,2020-02-06,7722.916666666667,7826.458333333333,1403.375,1700.125,1491.2083333333333,1877.9583333333333,1211.6666666666667,72.20833333333333,69.0
electricity_consumption,2020-02-07,7883.083333333333,7514.208333333333,1415.2916666666667,1703.6666666666667,1643.125,1652.75,944.7916666666666,84.0,69.83333333333333
electricity_consumption,2020-02-08,7398.208333333333,7195.916666666667,1423.5416666666667,1383.625,1540.125,1715.25,941.25,127.16666666666667,64.08333333333333
electricity_consumption,2020-02-09,6741.0,6061.0,1422.875,421.0416666666667,1453.7916666666667,1607.7916666666667,912.4583333333334,176.54166666666666,65.41666666666667
electricity_consumption,2020-02-10,7764.583333333333,7587.375,1410.625,1906.625,1549.0,1643.875,904.5416666666666,102.66666666666667,69.375
electricity_consumption,2020-02-11,7781.625,7482.916666666667,1414.0416666666667,1977.4583333333333,1508.0,1578.9583333333333,864.0,71.5,67.875
electricity_consumption,2020-02-12,7660.875,7514.541666666667,1415.1666666666667,1504.7916666666667,1796.0416666666667,1625.7916666666667,948.5,153.83333333333334,69.25
electricity_consumption,2020-02-13,7637.625,6876.75,1414.9166666666667,729.4166666666666,1716.4583333333333,1721.625,1041.2083333333333,179.58333333333334,72.54166666666667
electricity_consumption,2020-02-14,7715.333333333333,7266.0,1419.875,1275.875,1638.625,1751.6666666666667,1043.5,64.79166666666667,70.875
electricity_consumption,2020-02-15,7065.125,6302.208333333333,1423.5416666666667,798.0833333333334,1579.0833333333333,1315.9166666666667,1026.5416666666667,93.375,65.16666666666667
electricity_consumption,2020-02-16,6361.041666666667,5560.791666666667,1422.9166666666667,439.4583333333333,1349.6666666666667,1230.7083333333333,868.4166666666666,180.70833333333334,68.25
electricity_consumption,2020-02-17,7324.25,6644.625,1409.0833333333333,1212.6666666666667,1425.5833333333333,1346.4166666666667,984.25,195.95833333333334,70.125
electricity_consumption,2020-02-18,7428.208333333333,6747.708333333333,1419.5416666666667,1011.0833333333334,1442.625,1519.25,1133.625,150.70833333333334,69.20833333333333
electricity_consumption,2020-02-19,7505.333333333333,6537.416666666667,1406.2916666666667,529.3333333333334,1625.8333333333333,1581.125,1248.2083333333333,78.375,66.41666666666667
electricity_consumption,2020-02-20,7607.041666666667,6614.041666666667,1406.625,261.7916666666667,1792.4583333333333,1668.8333333333333,1354.875,58.541666666666664,70.125
electricity_consumption,2020-02-21,7586.916666666667,6595.291666666667,1420.5833333333333,239.0,1739.75,1695.5416666666667,1330.4583333333333,100.25,68.625
electricity_consumption,2020-02-22,6908.916666666667,6093.125,1426.0833333333333,238.625,1556.8333333333333,1548.7916666666667,1152.5416666666667,101.54166666666667,67.25
electricity_consumption,2020-02-23,6406.875,6752.875,1426.6666666666667,1507.0416666666667,1444.2083333333333,1172.5,1024.7083333333333,109.625,67.04166666666667
electricity_consumption,2020-02-24,7203.666666666667,7752.708333333333,1407.5,2137.125,1545.0,1366.1666666666667,1065.875,163.5,66.54166666666667
electricity_consumption,2020-02-25,7286.0,7125.0,1425.7916666666667,1372.0,1467.5,1507.8333333333333,1083.7916666666667,200.0,66.79166666666667
electricity_consumption,2020-02-26,7249.0,6939.333333333333,1418.3333333333333,1105.2083333333333,1525.7916666666667,1522.4166666666667,1162.8333333333333,138.16666666666666,66.25
electricity_consumption,2020-02-27,7376.666666666667,7343.666666666667,1409.25,1416.0833333333333,1606.25,1564.9583333333333,1198.5416666666667,83.125,64.54166666666667
electricity_consumption,2020-02-28,7465.416666666667,6985.708333333333,1411.1666666666667,719.375,1947.2083333333333,1656.5,1085.25,101.54166666666667,63.5
electricity_consumption,2020-02-29,6924.75,6227.375,1423.625,454.3333333333333,1760.7916666666667,1282.0416666666667,1098.8333333333333,151.91666666666666,54.958333333333336
electricity_consumption,2020-03-01,6313.5,6429.833333333333,1425.125,1786.5833333333333,1085.9583333333333,901.2916666666666,1031.0416666666667,145.58333333333334,52.791666666666664
electricity_consumption,2020-03-02,7246.041666666667,7185.625,1414.5,1599.5833333333333,1589.7083333333333,1165.75,1235.375,129.20833333333334,49.791666666666664
electricity_consumption,2020-03-03,7270.166666666667,6863.083333333333,1424.9583333333333,963.5416666666666,1773.0416666666667,1191.5833333333333,1364.9166666666667,88.33333333333333,55.458333333333336
electricity_consumption,2020-03-04,7309.458333333333,7735.0,1421.2916666666667,1727.7083333333333,1821.375,1382.5833333333333,1247.5833333333333,77.66666666666667,55.25
electricity_consumption,2020-03-05,7428.291666666667,7035.541666666667,1412.375,418.375,2125.375,1572.625,1380.125,64.41666666666667,60.5
electricity_consumption,2020-03-06,7215.958333333333,7022.958333333333,1408.875,607.3333333333334,1921.5833333333333,1586.4583333333333,1294.1666666666667,138.5,65.45833333333333
electricity_consumption,2020-03-07,6619.75,6652.708333333333,1425.375,411.5416666666667,1938.0833333333333,1248.0,1418.5,143.45833333333334,65.875
electricity_consumption,2020-03-08,6185.958333333333,5917.666666666667,1426.3333333333333,626.5833333333334,1608.6666666666667,871.0833333333334,1279.8333333333333,51.041666666666664,54.375
electricity_consumption,2020-03-09,7169.958333333333,6551.75,1410.125,299.75,2024.5833333333333,1335.8333333333333,1381.0,44.75,55.583333333333336
electricity_consumption,2020-03-10,7330.708333333333,7722.416666666667,1405.0,1771.7916666666667,1937.0,1190.9583333333333,1284.3333333333333,72.875,59.916666666666664
electricity_consumption,2020-03-11,7252.666666666667,7474.75,1413.75,1252.2916666666667,2148.9166666666665,1154.625,1304.2083333333333,135.16666666666666,64.58333333333333
electricity_consumption,2020-03-12,7037.125,6862.25,1414.9583333333333,696.7916666666666,1947.5416666666667,1142.7916666666667,1377.125,217.125,64.66666666666667
electricity_consumption,2020-03-13,6933.416666666667,6937.333333333333,1406.0,824.5,1991.25,1123.5416666666667,1349.8333333333333,177.79166666666666,62.833333333333336
electricity_consumption,2020-03-14,6457.416666666667,6647.0,1415.5833333333333,843.0416666666666,2050.7083333333335,1130.9166666666667,1005.875,138.95833333333334,62.166666666666664
electricity_consumption,2020-03-15,6134.791666666667,6312.916666666667,1424.9166666666667,1725.8333333333333,1126.3333333333333,835.7083333333334,991.125,144.91666666666666,63.166666666666664
electricity_consumption,2020-03-16,7001.0,6472.875,1408.0,281.2916666666667,2234.125,1136.3333333333333,1078.3333333333333,267.1666666666667,66.45833333333333
electricity_consumption,2020-03-17,7058.291666666667,6508.25,1405.9583333333333,742.5416666666666,1838.0416666666667,1191.6666666666667,1019.375,244.41666666666666,65.70833333333333
electricity_consumption,2020-03-18,7004.958333333333,6057.458333333333,1424.4166666666667,216.91666666666666,1861.0416666666667,1207.25,1060.8333333333333,220.16666666666666,65.875
electricity_consumption,2020-03-19,6905.375,6274.125,1421.25,213.08333333333334,2114.1666666666665,1201.5833333333333,1026.75,232.125,64.20833333333333
electricity_consumption,2020-03-20,6663.958333333333,6274.166666666667,1413.2916666666667,695.8333333333334,1754.2916666666667,1187.6666666666667,994.875,163.625,63.25
electricity_consumption,2020-03-21,6092.75,6311.625,1411.7916666666667,1023.875,1417.3333333333333,1202.9166666666667,989.6666666666666,206.58333333333334,58.125
electricity_consumption,2020-03-22,5903.958333333333,6059.75,1425.3333333333333,1290.5,1406.9166666666667,957.9166666666666,843.7083333333334,74.95833333333333,59.125
electricity_consumption,2020-03-23,7040.416666666667,7469.958333333333,1406.1666666666667,2138.3333333333335,1656.2916666666667,1261.4166666666667,901.5,44.083333333333336,61.708333333333336
electricity_consumption,2020-03-24,7106.708333333333,8087.083333333333,1411.5833333333333,2645.2083333333335,1578.375,1260.9166666666667,1014.9166666666666,109.54166666666667,66.0
electricity_consumption,2020-03-25,6918.166666666667,7756.0,1418.875,2096.2083333333335,1688.4166666666667,1223.9166666666667,1143.0833333333333,124.25,60.458333333333336
electricity_consumption,2020-03-26,6816.458333333333,7630.041666666667,1422.8333333333333,2432.5416666666665,1436.625,1069.7083333333333,1043.0416666666667,166.70833333333334,57.916666666666664
electricity_consumption,2020-03-27,6535.208333333333,7008.166666666667,1427.4166666666667,2054.6666666666665,1145.0416666666667,1065.9166666666667,1012.875,242.04166666666666,59.416666666666664
electricity_consumption,2020-03-28,5926.125,5986.041666666667,1428.375,636.8333333333334,1581.9166666666667,1042.75,1023.7083333333334,213.25,58.0
electricity_consumption,2020-03-29,5364.25,5203.854166666667,1428.3958333333333,928.3125,991.2708333333334,825.3125,760.9791666666666,208.375,59.708333333333336
electricity_consumption,2020-03-30,6146.0,5580.208333333333,1391.3333333333333,684.2916666666666,1382.7916666666667,989.4166666666666,713.75,357.2916666666667,60.208333333333336
electricity_consumption,2020-03-31,6628.5,6842.25,1422.0833333333333,1715.4166666666667,1610.2083333333333,1111.6666666666667,837.7916666666666,84.66666666666667,59.458333333333336
electricity_consumption,2020-04-01,6560.458333333333,6579.166666666667,1413.875,781.4583333333334,1919.7916666666667,1128.5,1105.6666666666667,177.25,51.916666666666664
